gen_model,embed_model,api_price_per_1k,hourly_price,cost_difference,api_cost,local_cost,export_timestamp,export_timestamp_readable
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0067,2.449999999999999,-1.4741971526455564e-05,0.04218692222222223,0.042201664193748684,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0068000000000000005,2.479999999999999,9.815851226890997e-05,0.04281657777777778,0.04271841926550887,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0068000000000000005,2.489999999999999,-7.409317831781499e-05,0.04281657777777778,0.042890670956095604,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.006900000000000001,2.5199999999999987,3.8807305477555946e-05,0.04344623333333334,0.043407426027855786,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.007000000000000001,2.5599999999999987,-2.0543901313804058e-05,0.0440758888888889,0.04409643279020271,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0071,2.589999999999999,9.235658248155512e-05,0.044705544444444446,0.044613187861962895,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0071,2.5999999999999988,-7.989510810517254e-05,0.044705544444444446,0.04478543955254962,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.007200000000000001,2.629999999999999,3.300537569019454e-05,0.045335200000000006,0.045302194624309816,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.007300000000000001,2.6699999999999986,-2.6345831101159494e-05,0.045964855555555566,0.04599120138665672,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0074,2.699999999999999,8.65546526941991e-05,0.04659451111111112,0.04650795645841692,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0074,2.7099999999999986,-8.56970378925249e-05,0.04659451111111112,0.046680208149003644,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.007500000000000001,2.739999999999999,2.720344590283968e-05,0.04722416666666667,0.04719696322076384,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.007600000000000001,2.779999999999999,-3.2147760888522445e-05,0.04785382222222223,0.04788596998311075,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0077,2.8099999999999987,8.075272290684578e-05,0.048483477777777784,0.04840272505487094,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0077,2.819999999999999,-9.149896767988938e-05,0.048483477777777784,0.048574976745457674,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0078000000000000005,2.8499999999999988,2.1401516115484437e-05,0.049113133333333336,0.049091731817217855,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0079,2.889999999999999,-3.794969067587884e-05,0.049742788888888896,0.049780738579564776,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.008,2.9199999999999986,7.495079311948978e-05,0.05037244444444445,0.05029749365132496,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.008,2.929999999999999,-9.730089746724134e-05,0.05037244444444445,0.0504697453419117,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0081,2.9599999999999986,1.5599586328124183e-05,0.0510021,0.05098650041367188,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.008199999999999999,2.9999999999999987,-4.3751620463241795e-05,0.051631755555555554,0.0516755071760188,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0083,3.0299999999999985,6.914886333213608e-05,0.052261411111111114,0.05219226224777898,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0084,3.0699999999999985,9.7976565407674e-06,0.05289106666666667,0.0528812690101259,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0085,3.1099999999999985,-4.9553550250583926e-05,0.053520722222222226,0.053570275772472815,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0086,3.1399999999999983,6.334693354477814e-05,0.05415037777777778,0.054087030844233004,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0087,3.1799999999999984,3.995726753414857e-06,0.05478003333333333,0.054776037606579925,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0088,3.2199999999999984,-5.5355480037941486e-05,0.0554096888888889,0.05546504436892684,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0089,3.2499999999999987,5.754500375741942e-05,0.056039344444444444,0.055981799440687034,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.009,3.2899999999999987,-1.8062030339484798e-06,0.056669,0.05667080620303395,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0091,3.3299999999999983,-6.115740982529556e-05,0.057298655555555564,0.05735981296538086,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0092,3.3599999999999985,5.1743073970062256e-05,0.057928311111111117,0.05787656803714105,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0093,3.3999999999999986,-7.608132821304493e-06,0.05855796666666666,0.05856557479948797,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0094,3.4399999999999986,-6.695933961265929e-05,0.05918762222222223,0.05925458156183489,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0095,3.4699999999999984,4.5941144182708944e-05,0.05981727777777778,0.059771336633595074,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0096,3.5099999999999985,-1.3410062608654337e-05,0.060446933333333334,0.060460343395941994,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0097,3.5399999999999983,9.949042118671852e-05,0.061076588888888894,0.060977098467702176,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0097,3.5499999999999985,-7.276126940001569e-05,0.061076588888888894,0.06114935015828891,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.0098,3.5799999999999983,4.013921439535409e-05,0.06170624444444445,0.0616661052300491,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.009899999999999999,3.6199999999999983,-1.921199239601382e-05,0.0623359,0.06235511199239602,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.01,3.649999999999998,9.368849139936559e-05,0.06296555555555557,0.06287186706415619,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,qwen3-embedding:8b-fp16,0.01,3.6599999999999984,-7.856319918736938e-05,0.06296555555555557,0.06304411875474293,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0004,0.18999999999999995,4.040026999553922e-05,0.006347142857142858,0.006306742587147318,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0005,0.23999999999999994,-3.2483117599619964e-05,0.007933928571428573,0.007966411689028192,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0008,0.3799999999999999,8.080053999107844e-05,0.012694285714285715,0.012613485174294637,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0009000000000000001,0.4299999999999998,7.91715239592142e-06,0.014281071428571431,0.014273154276175508,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.001,0.47999999999999976,-6.496623519923621e-05,0.015867857142857145,0.01593282337805638,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0013000000000000002,0.6199999999999998,4.831742239146169e-05,0.020628214285714288,0.020579896863322827,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0014000000000000002,0.6699999999999997,-2.456596520369594e-05,0.022215000000000006,0.022239565965203698,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0015,0.7199999999999996,-9.744935279885531e-05,0.023801785714285716,0.02389923506708457,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0017000000000000001,0.8099999999999996,8.871769238700047e-05,0.026975357142857145,0.02688663945047014,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0018000000000000002,0.8599999999999995,1.583430479184681e-05,0.028562142857142862,0.02854630855235101,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0019000000000000002,0.9099999999999996,-5.70490828033133e-05,0.030148928571428577,0.030205977654231886,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0022,1.0499999999999996,5.623457478738212e-05,0.03490928571428572,0.03485305113949833,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0023,1.0999999999999996,-1.664881280778245e-05,0.03649607142857143,0.03651272024137921,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0024,1.1499999999999995,-8.95322004029381e-05,0.03808285714285714,0.038172389343260074,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0026,1.2399999999999995,9.663484478291595e-05,0.04125642857142857,0.04115979372664565,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0027,1.2899999999999996,2.37514571877603e-05,0.04284321428571429,0.04281946282852653,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0028,1.3399999999999994,-4.913193040739733e-05,0.044430000000000004,0.044479131930407395,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0031,1.4799999999999993,6.415172718329908e-05,0.04919035714285715,0.049126205415673835,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0032,1.5299999999999994,-8.731660411854584e-06,0.05077714285714286,0.05078587451755471,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0033,1.5799999999999994,-8.161504800701916e-05,0.052363928571428575,0.05244554361943558,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0036,1.7199999999999993,3.1668609583676765e-05,0.05712428571428572,0.05709261710470203,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
gpt-oss:20b,snowflake-arctic-embed2:568m,0.0037,1.7699999999999994,-4.121477801147839e-05,0.05871107142857143,0.058752286206582904,2025-11-24T12:54:05.462112,2025-11-24 12:54:05
