experiment_name,gen_model,embed_model,num_docs,chunk_size,chunk_overlap,num_questions_per_doc,total_questions,concurrency,total_input_tokens,total_output_tokens,total_tokens,total_runtime_seconds,tokens_per_second,cost_api_total,cost_api_per_1k_tokens,cost_api_per_document,cost_api_per_question,cost_api_input,cost_api_output,cost_local_total,cost_local_per_1k_tokens,cost_local_per_document,cost_local_per_question,cost_local_runtime_hours,cost_difference,cost_ratio,total_cost,cost_per_1k_tokens,cost_per_document,cost_per_question,pricing_mode,nolh_sample_idx,nolh_num_docs,nolh_chunk_size,nolh_num_questions
nolh_docs6_chunk1218_q5_gengemma3_12b_embnomic_embed_text_137m_v1.5_fp16,gemma3:12b,nomic-embed-text:137m-v1.5-fp16,6,1218,50,5,30,3,2969,0,2969,22.025582349000615,134.7977979857915,0.007422499999999999,0.0024999999999999996,0.0012370833333333333,0.00024741666666666667,0.007422499999999999,0.0,0.009177325978750256,0.0030910495044628684,0.0015295543297917094,0.0003059108659583419,0.0061182173191668375,-0.0017548259787502568,0.808786787914749,0.007422499999999999,0.0024999999999999996,0.0012370833333333333,0.00024741666666666667,both,15,6,1218,5
nolh_docs7_chunk3498_q9_gengemma3_12b_embsnowflake_arctic_embed2_568m,gemma3:12b,snowflake-arctic-embed2:568m,7,3498,50,9,63,3,3453,0,3453,35.436611959012225,97.44159526294202,0.0086325,0.0024999999999999996,0.0012332142857142856,0.0001370238095238095,0.0086325,0.0,0.01476525498292176,0.004276065734990374,0.002109322140417394,0.00023436912671304382,0.00984350332194784,-0.00613275498292176,0.5846495715776521,0.0086325,0.0024999999999999996,0.0012332142857142856,0.0001370238095238095,both,16,7,3498,9
nolh_docs50_chunk753_q1_gengpt_oss_20b_embqwen3_embedding_8b_fp16,gpt-oss:20b,qwen3-embedding:8b-fp16,50,753,50,1,50,3,24313,0,24313,248.16181192999647,97.97236654146614,0.060782499999999996,0.0024999999999999996,0.00121565,0.00121565,0.060782499999999996,0.0,0.10340075497083187,0.0042528998877486065,0.0020680150994166376,0.0020680150994166376,0.06893383664722125,-0.042618254970831874,0.5878341992487968,0.060782499999999996,0.0024999999999999996,0.00121565,0.00121565,both,17,50,753,1
nolh_docs22_chunk2851_q2_gengemma3_12b_embqwen3_embedding_8b_fp16,gemma3:12b,qwen3-embedding:8b-fp16,22,2851,50,2,44,3,10726,0,10726,58.14939591703296,184.45591447422362,0.026815000000000002,0.0025,0.0012188636363636364,0.0006094318181818182,0.026815000000000002,0.0,0.0242289149654304,0.002258895670840052,0.0011013143166104728,0.0005506571583052364,0.0161526099769536,0.0025860850345696025,1.1067354868453418,0.026815000000000002,0.0025,0.0012188636363636364,0.0006094318181818182,both,18,22,2851,2
nolh_docs43_chunk1066_q3_gengpt_oss_120b_embnomic_embed_text_137m_v1.5_fp16,gpt-oss:120b,nomic-embed-text:137m-v1.5-fp16,43,1066,50,3,129,3,20825,0,20825,314.32947883207817,66.25213797120563,0.0520625,0.0024999999999999996,0.0012107558139534884,0.00040358527131782946,0.0520625,0.0,0.13097061618003258,0.006289105218729055,0.003045828283256572,0.0010152760944188571,0.08731374412002171,-0.07890811618003259,0.3975128278272337,0.0520625,0.0024999999999999996,0.0012107558139534884,0.00040358527131782946,both,19,43,1066,3
nolh_docs23_chunk1540_q3_gengpt_oss_120b_embembeddinggemma,gpt-oss:120b,embeddinggemma,23,1540,50,3,69,3,11229,0,11229,153.263748127094,73.26585795545303,0.0280725,0.0025,0.0012205434782608696,0.00040684782608695655,0.0280725,0.0,0.06385989505295583,0.0056870509442475585,0.002776517176215471,0.000925505725405157,0.042573263368637225,-0.035787395052955834,0.4395951477327182,0.0280725,0.0025,0.0012205434782608696,0.00040684782608695655,both,20,23,1540,3
nolh_docs27_chunk726_q5_genqwen3_latest_embnomic_embed_text_137m_v1.5_fp16,qwen3:latest,nomic-embed-text:137m-v1.5-fp16,27,726,50,5,135,3,13124,0,13124,388.6394353219657,33.76908982262058,0.03281,0.0024999999999999996,0.0012151851851851852,0.00024303703703703702,0.03281,0.0,0.16193309805081904,0.012338699942915197,0.005997522150030334,0.0011995044300060669,0.10795539870054603,-0.12912309805081904,0.20261453893572345,0.03281,0.0024999999999999996,0.0012151851851851852,0.00024303703703703702,both,21,27,726,5
nolh_docs13_chunk810_q9_gengemma3_27b_embnomic_embed_text_137m_v1.5_fp16,gemma3:27b,nomic-embed-text:137m-v1.5-fp16,13,810,50,9,116,3,6331,0,6331,161.42848497797968,39.218605073717974,0.0158275,0.0025,0.0012175,0.0001364439655172414,0.0158275,0.0,0.06726186874082486,0.010624209246694813,0.005173989903140374,0.0005798436960415936,0.044841245827216575,-0.05143436874082486,0.2353116304423079,0.0158275,0.0025,0.0012175,0.0001364439655172414,both,22,13,810,9
nolh_docs14_chunk1613_q3_gengpt_oss_20b_embembeddinggemma,gpt-oss:20b,embeddinggemma,14,1613,50,3,42,3,6825,0,6825,84.74468735100527,80.53602194237182,0.0170625,0.0025,0.00121875,0.00040625000000000004,0.0170625,0.0,0.035310286396252194,0.005173668336447208,0.002522163314018014,0.0008407211046726712,0.023540190930834797,-0.018247786396252193,0.483216131654231,0.0170625,0.0025,0.00121875,0.00040625000000000004,both,23,14,1613,3
nolh_docs41_chunk2815_q5_gengemma3_1b_embsnowflake_arctic_embed2_568m,gemma3:1b,snowflake-arctic-embed2:568m,41,2815,50,5,201,3,19986,0,19986,35.648441160912625,560.6416255281874,0.049965,0.0025,0.0012186585365853658,0.0002485820895522388,0.049965,0.0,0.01485351715038026,0.0007431960947853627,0.0003622809061068356,7.389809527552368e-05,0.009902344766920174,0.03511148284961974,3.363849753169125,0.049965,0.0025,0.0012186585365853658,0.0002485820895522388,both,24,41,2815,5
nolh_docs35_chunk2340_q8_gengemma3_27b_embqwen3_embedding_8b_fp16,gemma3:27b,qwen3-embedding:8b-fp16,35,2340,50,8,280,3,17064,0,17064,403.48460550307937,42.29157635078538,0.042660000000000003,0.0025,0.001218857142857143,0.00015235714285714288,0.042660000000000003,0.0,0.16811858562628307,0.009852237788694507,0.004803388160750945,0.0006004235200938681,0.11207905708418871,-0.12545858562628306,0.2537494581047123,0.042660000000000003,0.0025,0.001218857142857143,0.00015235714285714288,both,25,35,2340,8
