experiment_name,gen_model,embed_model,num_docs,chunk_size,chunk_overlap,num_questions_per_doc,total_questions,concurrency,total_input_tokens,total_output_tokens,total_tokens,total_runtime_seconds,tokens_per_second,cost_api_total,cost_api_per_1k_tokens,cost_api_per_document,cost_api_per_question,cost_api_input,cost_api_output,cost_local_total,cost_local_per_1k_tokens,cost_local_per_document,cost_local_per_question,cost_local_runtime_hours,cost_difference,cost_ratio,total_cost,cost_per_1k_tokens,cost_per_document,cost_per_question,pricing_mode,nolh_sample_idx,nolh_num_docs,nolh_chunk_size,nolh_num_questions
nolh_docs41_chunk2473_q3,gemma3:1b,embeddinggemma,41,2473,50,3,123,1,83895,1791,85686,65.17068642194505,1314.7935782850184,0.2276475,0.002656764232196625,0.005552378048780488,0.0018507926829268292,0.2097375,0.01791,0.027154452675810438,0.0003169065270383778,0.0006623037238002546,0.0002207679079334182,0.018102968450540293,0.20049304732418957,8.38343172362268,0.2276475,0.002656764232196625,0.005552378048780488,0.0018507926829268292,both,18,41,2473,3
nolh_docs12_chunk2235_q9,gemma3:1b,embeddinggemma,12,2235,50,9,104,1,59649,1427,61076,37.9637221650191,1608.799045955437,0.16339250000000002,0.002675232497216583,0.013616041666666669,0.001571081730769231,0.14912250000000002,0.014270000000000001,0.01581821756875796,0.00025899236310102103,0.0013181847973964967,0.0001520982458534419,0.010545478379171972,0.14757428243124207,10.329387574154445,0.16339250000000002,0.002675232497216583,0.013616041666666669,0.001571081730769231,both,19,12,2235,9
nolh_docs45_chunk1886_q4,gemma3:1b,embeddinggemma,45,1886,50,4,177,1,113302,2468,115770,81.07466442204169,1427.9430056885406,0.307935,0.002659885980824048,0.006843,0.0017397457627118646,0.28325500000000003,0.02468,0.033781110175850705,0.00029179502613674275,0.0007506913372411268,0.00019085372980706612,0.022520740117233803,0.2741538898241493,9.115597397392087,0.307935,0.002659885980824048,0.006843,0.0017397457627118646,both,20,45,1886,4
nolh_docs28_chunk457_q6,gemma3:1b,embeddinggemma,28,457,45,6,166,1,99763,2410,102173,67.59453987202146,1511.5570014005104,0.2735075,0.002676905836179813,0.009768125,0.0016476355421686747,0.24940750000000003,0.024100000000000003,0.02816439161334227,0.0002756539556765708,0.0010058711290479381,0.00016966500971892932,0.018776261075561514,0.24534310838665774,9.711109821041964,0.2735075,0.002676905836179813,0.009768125,0.0016476355421686747,both,21,28,457,6
nolh_docs37_chunk3801_q5,gemma3:1b,embeddinggemma,37,3801,50,5,184,1,113675,2573,116248,77.23941433305308,1505.0347158089983,0.30991749999999996,0.002666002855963113,0.008376148648648647,0.0016843342391304346,0.2841875,0.02573,0.03218308930543878,0.0002768485419571845,0.0008698132244713185,0.00017490809405129774,0.021455392870292522,0.2777344106945612,9.62982444160901,0.30991749999999996,0.002666002855963113,0.008376148648648647,0.0016843342391304346,both,22,37,3801,5
nolh_docs48_chunk2345_q9,gemma3:1b,embeddinggemma,48,2345,50,9,428,1,244925,5755,250680,147.2705190959606,1702.173670187571,0.6698625,0.0026721816658688367,0.01395546875,0.0015650992990654206,0.6123125,0.05755,0.061362716289983577,0.0002447850498244119,0.0012783899227079912,0.00014337083245323265,0.04090847752665572,0.6084997837100165,10.91644145663975,0.6698625,0.0026721816658688367,0.01395546875,0.0015650992990654206,both,23,48,2345,9
nolh_docs38_chunk2606_q7,gemma3:1b,embeddinggemma,38,2606,50,7,259,1,153201,3580,156781,97.2262543789695,1612.5376936655134,0.41880249999999997,0.0026712579968235944,0.01102111842105263,0.0016169980694980693,0.38300249999999997,0.0358,0.04051093932457062,0.00025839189266920495,0.0010660773506465954,0.00015641289314506033,0.027007292883047082,0.37829156067542935,10.338010102520348,0.41880249999999997,0.0026712579968235944,0.01102111842105263,0.0016169980694980693,both,24,38,2606,7
nolh_docs26_chunk1218_q7,gemma3:1b,embeddinggemma,26,1218,50,7,178,1,104781,2500,107281,68.13051241399069,1574.6395586769388,0.28695250000000005,0.0026747746572086395,0.011036634615384618,0.0016120926966292138,0.26195250000000003,0.025,0.028387713505829457,0.00026461082116898104,0.0010918351348395946,0.00015948153654960368,0.018925142337219637,0.2585647864941706,10.108334365889453,0.28695250000000005,0.0026747746572086395,0.011036634615384618,0.0016120926966292138,both,25,26,1218,7
nolh_docs40_chunk3147_q1,gemma3:1b,embeddinggemma,40,3147,50,1,40,1,40319,2472,42791,76.42849695898622,559.8827885227537,0.1255175,0.002933268677993036,0.0031379375,0.0031379375,0.10079750000000001,0.02472,0.03184520706624426,0.0007442033854372243,0.0007961301766561066,0.0007961301766561066,0.02123013804416284,0.09367229293375574,3.941487952610861,0.1255175,0.002933268677993036,0.0031379375,0.0031379375,both,26,40,3147,1
nolh_docs7_chunk1162_q3,gemma3:1b,embeddinggemma,7,1162,50,3,21,1,14487,306,14793,12.854361291982062,1150.8156386756584,0.0392775,0.0026551409450415735,0.005611071428571429,0.0018703571428571428,0.0362175,0.0030600000000000002,0.005355983871659193,0.0003620620477022371,0.0007651405530941704,0.00025504685103139015,0.003570655914439462,0.03392151612834081,7.333386533860584,0.0392775,0.0026551409450415735,0.005611071428571429,0.0018703571428571428,both,27,7,1162,3
